appid,name,estimated_owners,price,dlc_count,windows,mac,linux,metacritic_score,user_score,achievements,recommendations,average_playtime_forever,average_playtime_two_weeks,median_playtime_forever,median_playtime_two_weeks,developers,publishers,genres,tags,single_player,release_year,players,popular_tags,recent_sentiment,recent_review_number,recent_positive_percentage,all_sentiment,all_review_number,all_positive_percentage,global_sales
12140,Max Payne,750000.0,3.49,0,True,False,False,89,0,0,8684,168,79,80,79,Remedy Entertainment,Rockstar Games,Action,"Action,Noir,Classic,Third-Person Shooter,Bullet Time,Story Rich,Atmospheric,Dark,Third Person,Singleplayer,Shooter,Great Soundtrack,Detective,Cinematic,Linear,Crime,Violent,Adventure,Horror,Psychological Horror",True,2011,single,"Noir,Action,Classic,Third-Person Shooter,Bullet Time,Story Rich,Atmospheric,Masterpiece,Dark,Third Person,Singleplayer,Shooter,Great Soundtrack,Linear,Detective,Cinematic,Violent,Crime,Adventure,Horror",Very Positive,27.0,81.0,Very Positive,3348.0,89.0,5.8
748490,The Legend of Heroes: Trails of Cold Steel II,75000.0,39.99,13,True,False,False,81,0,51,1992,4495,0,8126,0,Nihon Falcom,"XSEED Games,Marvelous USA, Inc.",RPG,"JRPG,RPG,Anime,Story Rich,Great Soundtrack,Turn-Based,Singleplayer,Mechs,Fantasy,Romance,Turn-Based Combat,Adventure",True,2018,single,"JRPG,RPG,Anime,Story Rich,Great Soundtrack,Turn-Based,Singleplayer,Fantasy,Mechs,Romance,Adventure",Very Positive,11.0,81.0,Overwhelmingly Positive,852.0,95.0,0.39
16130,Fish Tycoon,10000.0,9.99,0,True,False,False,0,0,0,0,1815,0,1815,0,Last Day of Work,Last Day of Work,"Casual,Simulation","Simulation,Casual,Management",True,2008,single,"Casual,Simulation,Management",,,,Positive,37.0,81.0,0.26
40800,Super Meat Boy,3500000.0,14.99,1,True,True,True,87,0,48,22056,335,17,139,34,Team Meat,,Indie,"Precision Platformer,Platformer,Difficult,Indie,2D Platformer,Pixel Graphics,2D,Singleplayer,Great Soundtrack,Fast-Paced,Retro,Controller,Unforgiving,Gore,Action,Time Attack,Funny,Comedy,Side Scroller,Replay Value",True,2010,single,"Platformer,Difficult,Indie,2D,Singleplayer,Great Soundtrack,Fast-Paced,Retro,Controller,Pixel Graphics,Unforgiving,Gore,Action,Time Attack,Funny,Comedy,Side Scroller,Masterpiece,Adventure,Replay Value",Very Positive,67.0,89.0,Very Positive,18040.0,94.0,0.01
211200,Beyond Oasis,0.0,0.99,0,True,True,True,0,0,0,0,0,0,0,0,,SEGA,,,True,2012,single,"Action,Classic,RPG,Adventure",,,,,,,0.05
22380,Fallout: New Vegas,3500000.0,9.99,7,True,False,False,84,0,75,127087,3044,112,976,153,Obsidian Entertainment,Bethesda Softworks,"Action,RPG","Open World,RPG,Post-apocalyptic,Singleplayer,Moddable,Exploration,Story Rich,First-Person,Action,Adventure,Sci-fi,FPS,Western,Atmospheric,Action RPG,Survival,Character Customization,Sandbox,Shooter,Third Person",True,2010,single,"Open World,RPG,Post-apocalyptic,Singleplayer,Moddable,Exploration,First-Person,Action,Story Rich,Adventure,Sci-fi,FPS,Atmospheric,Western,Action RPG,Survival,Sandbox,Character Customization,Masterpiece,Shooter",Very Positive,507.0,93.0,Overwhelmingly Positive,52056.0,95.0,8.35
458730,Conception II: Children of the Seven Stars,35000.0,19.99,0,True,False,False,0,0,51,548,495,0,495,0,"Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd.",RPG,"RPG,Anime,JRPG,Dating Sim,Nudity,Dungeon Crawler,Sexual Content,Cute,Visual Novel,Singleplayer,Story Rich,Romance,Action",True,2016,single,"Anime,RPG,JRPG,Dating Sim,Nudity,Dungeon Crawler,Sexual Content,Visual Novel,Cute,Singleplayer,Story Rich,Psychological Horror",,,,Very Positive,418.0,84.0,0.29
577940,Killer Instinct,150000.0,39.99,1,True,False,False,0,0,463,3220,228,0,112,0,Iron Galaxy,Xbox Game Studios,Action,"Fighting,Action,Multiplayer,Great Soundtrack,2D Fighter,Arcade,Singleplayer,Competitive,Local Multiplayer,2.5D,Controller,Beat 'em up,Gore,Horror",True,2017,single/multi,"Fighting,Action,Multiplayer,Great Soundtrack,2D Fighter,Arcade,Singleplayer,Competitive,2.5D,Local Multiplayer",Very Positive,16.0,93.0,Very Positive,1417.0,87.0,3.2
324310,Bus Simulator 16,350000.0,9.99,3,True,True,False,0,0,30,2015,872,0,745,0,stillalive studios,astragon Entertainment,Simulation,"Simulation,Automobile Sim,Driving,Multiplayer,Open World,Realistic,Management,Co-op,Singleplayer,Online Co-Op,Co-op Campaign,Physics,Adventure,Mod,First-Person,Atmospheric,Free to Play,Casual,Sandbox,Moddable",True,2016,single/multi,"Simulation,Driving,Open World,Multiplayer,Realistic,Management,Co-op,Singleplayer,Online Co-Op,Co-op Campaign,Physics,Adventure,Mod,First-Person,Free to Play,Atmospheric",Mixed,17.0,52.0,Mixed,1561.0,58.0,0.03
28000,Kane & Lynch 2: Dog Days,750000.0,9.99,3,True,False,False,66,0,58,5205,193,0,107,0,IO Interactive,Square Enix,Action,"Action,Co-op,Crime,Third-Person Shooter,Shooter,Violent,Third Person,Atmospheric,Multiplayer,Mature,Singleplayer,Short,Heist,Nudity,Story Rich,Open World,Adventure,Local Co-Op,Great Soundtrack,Controller",True,2010,single/multi,"Action,Co-op,Crime,Third-Person Shooter,Shooter,Third Person,Violent,Multiplayer,Short,Atmospheric,Singleplayer,Mature,Heist,Open World,Story Rich,Masterpiece,Nudity,Adventure,Local Co-Op,Great Soundtrack",Mixed,26.0,42.0,Mixed,2960.0,60.0,1.15
260570,Gray Matter,75000.0,9.99,0,True,False,False,72,0,0,444,333,0,396,0,WizarBox Production,Viva Media Inc,"Adventure,Casual","Adventure,Point & Click,Female Protagonist,Casual,Mystery,Singleplayer,Story Rich,Great Soundtrack,Puzzle,Magic,Escape Room,Atmospheric,Third Person",True,2014,single,"Adventure,Point & Click,Female Protagonist,Mystery,Singleplayer,Story Rich,Casual,Great Soundtrack,Puzzle,Magic,Atmospheric",,,,Very Positive,336.0,89.0,0.12
17470,Dead Space,1500000.0,19.99,0,True,False,False,86,0,0,16949,601,398,136,398,EA Redwood Shores,Electronic Arts,"Action,Adventure","Horror,Sci-fi,Action,Space,Third Person,Survival Horror,Atmospheric,Singleplayer,Third-Person Shooter,Gore,Shooter,Aliens,Dark,Futuristic,Story Rich,Silent Protagonist,Adventure,Survival,Zombies,Immersive",True,2009,single,"Horror,Sci-fi,Action,Space,Third Person,Survival Horror,Atmospheric,Singleplayer,Third-Person Shooter,Gore,Shooter,Aliens,Dark,Futuristic,Story Rich,Silent Protagonist,Survival,Adventure,Masterpiece,Zombies",Very Positive,44.0,88.0,Very Positive,7353.0,89.0,3.99
1693980,Dead Space,350000.0,59.99,1,True,False,False,87,0,47,7891,339,339,356,356,Motive,Electronic Arts,"Action,Adventure","Horror,Third-Person Shooter,Space,Shooter,Sci-fi,Psychological Horror,Third Person,Action-Adventure,Atmospheric,Survival Horror,Action,Survival,Aliens,Adventure,Dark,Singleplayer,Combat,Violent,Remake,Blood",True,2023,single,"Horror,Sci-fi,Action,Space,Third Person,Survival Horror,Atmospheric,Singleplayer,Third-Person Shooter,Gore,Shooter,Aliens,Dark,Futuristic,Story Rich,Silent Protagonist,Survival,Adventure,Masterpiece,Zombies",Very Positive,44.0,88.0,Very Positive,7353.0,89.0,3.99
23490,Tropico 3,1500000.0,9.99,0,True,False,False,79,0,0,716,248,0,72,0,Haemimont Games,Kalypso Media Digital,"Simulation,Strategy","Simulation,Strategy,City Builder,Management,Politics,Sandbox,Singleplayer,Economy,Satire,Comedy,Funny,Great Soundtrack,Cold War,Political Sim,Atmospheric,Multiplayer,Open World,Classic",True,2009,single,"Simulation,Strategy,City Builder,Management,Politics,Sandbox,Singleplayer,Comedy,Satire,Economy,Funny,Great Soundtrack,Cold War,Masterpiece,Atmospheric,Multiplayer,Open World",,,,Very Positive,595.0,90.0,0.26
243060,Urban Chaos,35000.0,6.99,0,True,False,False,0,0,0,171,307,0,549,0,"Mucky Foot Productions Ltd,My Little Planet Ltd",My Little Planet Ltd,Action,"Action,Classic,Female Protagonist,Open World,Third Person,Stealth,Atmospheric",True,2013,single,"Action,Female Protagonist,Classic,Open World,Third Person",,,,Mostly Positive,114.0,71.0,0.1
25800,Europa Universalis III Complete,350000.0,14.99,11,True,True,False,83,0,0,1255,404,0,78,0,Paradox Development Studio,Paradox Interactive,Strategy,"Grand Strategy,Strategy,Historical,Political Sim,Real-Time with Pause,Political,Sandbox,Simulation,Singleplayer,Multiplayer,Addictive,RTS,Co-op,War,Alternate History,Logic,Medieval,Great Soundtrack,4X,Moddable",True,2009,single/multi,"Grand Strategy,Strategy,Historical,Real-Time with Pause,Political,Sandbox,Simulation,Singleplayer,Multiplayer,Addictive,RTS,Co-op,War,Alternate History,Medieval,Logic,4X,Great Soundtrack",,,,Very Positive,962.0,85.0,0.02
48800,Ship Simulator Extremes,150000.0,4.99,6,True,False,False,49,0,0,1486,1774,0,1566,0,VStep,Paradox Interactive,Simulation,"Simulation,Realistic,Naval,Open World,Multiplayer,Adventure,Singleplayer",True,2010,single/multi,"Simulation,Realistic,Naval,Open World,Multiplayer,Adventure,Singleplayer",Mixed,13.0,46.0,Mixed,1090.0,43.0,0.05
251430,The Inner World,150000.0,14.99,1,True,True,True,72,0,23,545,129,0,172,0,Studio Fizbin,Headup,"Adventure,Indie","Adventure,Point & Click,Puzzle,Indie,1990's,Great Soundtrack,Retro,Classic,Story Rich,Comedy,2D,Funny,Singleplayer",True,2013,single,"Adventure,Point & Click,Indie,Puzzle,Funny,Hand-drawn,Comedy,Story Rich,Singleplayer,2D,Atmospheric",,,,Very Positive,274.0,91.0,0.03
21110,F.E.A.R.,1500000.0,54.99,0,True,False,False,88,0,0,7859,189,0,199,0,"Monolith Productions, Inc.,Timegate","Warner Bros. Games,Warner Bros. Interactive Entertainment",Action,,True,2010,single,"Horror,FPS,Action,Bullet Time,Classic,Singleplayer,Masterpiece,Atmospheric,Shooter,Gore,First-Person,Psychological Horror,Story Rich,Dark,Sci-fi,Great Soundtrack,Survival Horror,Adventure,Old School,Thriller",Very Positive,27.0,92.0,Very Positive,4512.0,94.0,0.8800000000000001
21090,F.E.A.R.,1500000.0,54.99,0,True,False,False,88,0,0,7862,289,65,176,65,"Monolith Productions, Inc.,Timegate","Warner Bros. Games,Warner Bros. Interactive Entertainment",Action,"Horror,FPS,Action,Bullet Time,Classic,Singleplayer,Shooter,Atmospheric,Gore,First-Person,Psychological Horror,Dark,Story Rich,Sci-fi,Jump Scare,Great Soundtrack,Survival Horror,Thriller,Old School,Adventure",True,2010,single,"Horror,FPS,Action,Bullet Time,Classic,Singleplayer,Masterpiece,Atmospheric,Shooter,Gore,First-Person,Psychological Horror,Story Rich,Dark,Sci-fi,Great Soundtrack,Survival Horror,Adventure,Old School,Thriller",Very Positive,27.0,92.0,Very Positive,4512.0,94.0,0.8800000000000001
